PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Variance
3.4415568379250634,-1.661571562780068,-0.3111779984529722,0.2230299086252256,3.3921632207329977,-0.615560583434474,0.7339717517624222,-0.5223032950888405,0.3913981087294623,-0.5231432737376003,-1642504.78
4.064226267040885,0.8978980207610339,-0.8301525581779707,-1.7662516906230152,1.645274975632273,-0.9558373716905098,0.3795011404124565,-0.9787155470919084,1.1706835914448046,-0.10463326879321373,-1103972.95
2.863955300538612,0.7115273869994182,-0.8295879366702954,-2.2227858529687112,1.6448582446004294,-0.9495242456984189,0.151903689693496,-1.2496675569052995,1.0265308698181603,-0.16128510267241283,-676254.03
1.6883675628085246,-0.3279985571695528,-0.7354898024784106,-1.7165249270669125,2.30492438226133,-0.841298305952183,0.26547187190947014,-1.008790442773743,1.3894010202379363,0.12806949023163886,-433939.82
-0.5186584451346353,-0.3185727262181161,0.10310624521529055,-1.59492361821529,2.997690838872451,-0.7652332126602227,0.8918766425678124,-0.3613285023024329,1.4696294849092275,0.18187321598645026,-318563.77
-1.3161728899556475,0.04286500837219776,0.19927052813814916,-1.836143839109422,3.0012122774710677,-0.8461410911684699,0.060836132793729764,-1.296839534839844,1.3237170229766244,0.06454402023611185,-204806.41
1.8264718103578235,-0.4699455428136613,1.177126213074629,0.22007703382806307,2.680840871689196,-0.8121994969678006,0.023912063370637157,-0.4454829431212406,-0.9211780971382457,-0.7791071007355908,-1733923.23
1.4665863441743756,3.097848096036394,1.116714887789715,-1.8083684848508124,0.9750281048568917,-1.1588445222683457,0.7625853300910834,0.2848822204345053,0.10216200310892487,-0.2638607677432292,-1129532.63
0.7705296751622059,1.926389396558817,1.0042246663676548,-1.8457192850525954,1.3231507613099625,-1.1162283095837031,0.01325188033090266,-0.49186244291510584,0.14311372300657918,-0.18606858807994095,-707126.36
-0.009490529349035307,0.9776206052453434,1.0139946162954279,-1.578847357087031,1.7946766191099441,-1.0616849545738969,-0.4492763223136051,-0.9326004357640155,0.3036436828668868,-0.032195020402696936,-439232.16
-1.1080836531191416,0.3706544790047675,1.1008650627845449,-1.1864403383920237,2.284004495493587,-0.9695370981173475,-0.04442503353258568,-0.37108188827408184,0.7595973347371876,0.3097493682364869,-296332.57
